"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
Happy birthday..,"{'emotion': {'probabilities': {'Excited': 0.3150375632159485, 'Happy': 0.3041113590034164, 'Bored': 0.037004601238628816, 'Sarcasm': 0.11457120354902967, 'Sad': 0.12239303721765939, 'Angry': 0.03480679211037905, 'Fear': 0.07207544366493826}, 'emotion': 'Excited'}, 'code': 200}"
"#NITRaipurES18

E-Summit, NIT Raipur
E-Cell, NIT Raipur","{'emotion': {'probabilities': {'Excited': 0.11027719471291954, 'Happy': 0.12678958376462723, 'Bored': 0.3277613954166093, 'Sarcasm': 0.07849638219290238, 'Sad': 0.13190144773588755, 'Angry': 0.15617247654613922, 'Fear': 0.06860151963091461}, 'emotion': 'Bored'}, 'code': 200}"
Happy birthday sir..,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.2823704053542883, 'Sad': 0.13029152617522413, 'Sarcasm': 0.09419100062358497, 'Fear': 0.07218900199964279, 'Bored': 0.022163794355485367, 'Angry': 0.06268911817931593, 'Excited': 0.3361051533124584}}, 'code': 200}"
Happy Birthday..,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.3041113590034164, 'Sad': 0.12239303721765939, 'Sarcasm': 0.11457120354902967, 'Fear': 0.07207544366493826, 'Bored': 0.037004601238628816, 'Angry': 0.03480679211037905, 'Excited': 0.3150375632159485}}, 'code': 200}"
Happy birthday bhaia..,"{'emotion': {'emotion': 'Happy', 'probabilities': {'Happy': 0.3775574282687786, 'Sad': 0.1301136744383666, 'Sarcasm': 0.06839241736533913, 'Fear': 0.07131768622540557, 'Bored': 0.03213923550667834, 'Angry': 0.0559025775492053, 'Excited': 0.26457698064622626}}, 'code': 200}"
I thought of a joke on engineering but it was too 'mainstream'.,"{'emotion': {'emotion': 'Sarcasm', 'probabilities': {'Happy': 0.07767200364453739, 'Sad': 0.17220513596542084, 'Sarcasm': 0.2684671020659967, 'Fear': 0.14564189393234178, 'Bored': 0.11500897180330977, 'Angry': 0.09175255432593789, 'Excited': 0.12925233826245552}}, 'code': 200}"
Happy  birthday  Surya!!,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.38556181065105716, 'Sad': 0.01210567974440209, 'Sarcasm': 0.07747937854818773, 'Fear': 0.06697399545255037, 'Bored': 0.004396688697881588, 'Angry': 0.0362691002883162, 'Excited': 0.4172133466176048}}, 'code': 200}"
"""Know from the experts of your field""
#ELS2K18","{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.2050945733839724, 'Sad': 0.05822570452092579, 'Sarcasm': 0.08296197326090467, 'Fear': 0.232144502421799, 'Bored': 0.034304596571771796, 'Angry': 0.12434031777530609, 'Excited': 0.26292833206532024}}, 'code': 200}"
"girlfriend: talk dirty to me, but keep it short.
Programmer: byte me.","{'emotion': {'emotion': 'Sarcasm', 'probabilities': {'Happy': 0.17042518030459988, 'Sad': 0.046183394528735405, 'Sarcasm': 0.20398848273159875, 'Fear': 0.17211969218253312, 'Bored': 0.0460653200670834, 'Angry': 0.1939957651148211, 'Excited': 0.16722216507062854}}, 'code': 200}"
Happy birthday bhai..,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.3033706859417771, 'Sad': 0.12873217433723083, 'Sarcasm': 0.05215128371826245, 'Fear': 0.03208009031340796, 'Bored': 0.015212193102333037, 'Angry': 0.04101854994747876, 'Excited': 0.42743502263950967}}, 'code': 200}"
