"#NITRaipurES18

Follow:
"Some students in my college are so stoned, they can be placed in Kashmir.","{'code': 200, 'taxonomy': [{'confidence_score': 0.984754, 'tag': 'education/high school'}, {'confidence_score': 0.82271808385849, 'tag': 'religion and spirituality/alternative religions'}, {'confidence_score': 0.884501, 'tag': 'careers/resume writing and advice'}]}"
"Just a bunch of some old guys showing how it's done...
#CSK","{'code': 200, 'taxonomy': [{'confidence_score': 0.782408, 'tag': 'style and fashion/beauty'}, {'confidence_score': 0.7053983211517334, 'tag': 'family and parenting/motherhood'}, {'confidence_score': 0.802078, 'tag': 'health and fitness/sexuality'}]}"
Happy birthday bhaia..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9206620454788208, 'tag': 'sports/wrestling'}, {'confidence_score': 0.7905163764953613, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.881196, 'tag': 'travel/business travel'}]}"
Happy birthday ...,"{'code': 200, 'taxonomy': [{'confidence_score': 0.940807, 'tag': 'pets/cats'}, {'confidence_score': 0.961798, 'tag': 'health and fitness/therapy'}, {'confidence_score': 0.905209, 'tag': 'family and parenting/babies and toddlers'}]}"
"I had an argument with my mom..
I said: mah life
Mom said: Maa rulz..","{'code': 200, 'taxonomy': [{'confidence_score': 0.9548741579055786, 'tag': 'religion and spirituality/atheism and agnosticism'}, {'confidence_score': 0.8879815936088562, 'tag': 'hobbies and interests/inventors and patents'}, {'confidence_score': 0.8137233257293701, 'tag': 'family and parenting/special needs kids'}]}"
Happy Birthday!!,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9180036783218384, 'tag': 'sports/wrestling'}, {'confidence_score': 0.8132159113883972, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.8004593253135681, 'tag': 'society/dating'}]}"
"Newton is out of Oscars.
What should be our equal and opposite reaction?
#Newton_laws ðð","{'code': 200, 'taxonomy': [{'confidence_score': 0.8080449104309082, 'tag': 'religion and spirituality/alternative religions'}, {'confidence_score': 0.7435027360916138, 'tag': 'family and parenting/eldercare'}, {'confidence_score': 0.89806, 'tag': 'science/biology'}]}"
Happy Birthday Pratik Bhaia..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9180036783218384, 'tag': 'sports/wrestling'}, {'confidence_score': 0.8132159113883972, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.8004593253135681, 'tag': 'society/dating'}]}"
"girlfriend: talk dirty to me, but keep it short.
Programmer: byte me.","{'code': 200, 'taxonomy': [{'confidence_score': 0.9167780876159668, 'tag': 'family and parenting/babies and toddlers'}, {'confidence_score': 0.898172, 'tag': 'health and fitness/therapy'}, {'confidence_score': 0.915986, 'tag': 'style and fashion/beauty'}]}"
"Why didn't hitler listen to anybody?

Usne apne kaano pe 'Jew' nahi rengne diye.","{'code': 200, 'taxonomy': [{'confidence_score': 0.6984933614730835, 'tag': 'careers/resume writing and advice'}, {'confidence_score': 0.709026, 'tag': ""style and fashion/men 's fashion""}, {'confidence_score': 0.688422, 'tag': 'religion and spirituality/atheism and agnosticism'}]}"
Happy birthday Mayank ..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9587886333465576, 'tag': 'health and fitness/therapy'}, {'confidence_score': 0.904206, 'tag': 'sports/diving'}, {'confidence_score': 0.929655, 'tag': 'society/dating'}]}"
Happy birthday bhaia..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9206620454788208, 'tag': 'sports/wrestling'}, {'confidence_score': 0.7905163764953613, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.881196, 'tag': 'travel/business travel'}]}"
"Walter White(Breaking Bad) would have made the perfect GATE candidate,
because he is the one who knocks...","{'code': 200, 'taxonomy': [{'confidence_score': 0.8541128039360046, 'tag': 'religion and spirituality/atheism and agnosticism'}, {'confidence_score': 0.7216654419898987, 'tag': 'family and parenting/eldercare'}, {'confidence_score': 0.6138764023780823, 'tag': 'careers/u.s. military'}]}"
"""Know from the experts of your field""
#ELS2K18","{'code': 200, 'taxonomy': [{'confidence_score': 0.9147090315818787, 'tag': 'food and drink/food'}, {'confidence_score': 0.89905846118927, 'tag': 'careers/resume writing and advice'}, {'confidence_score': 0.911012, 'tag': 'sports/skating'}]}"
Happy Birthday..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9648609757423401, 'tag': 'sports/wrestling'}, {'confidence_score': 0.927553, 'tag': 'travel/business travel'}, {'confidence_score': 0.796939, 'tag': 'art and entertainment/music'}]}"
"Calling SUNIL CHHETRI for ipl auctions,
Because KXIP is literally buying everything..","{'code': 200, 'taxonomy': [{'confidence_score': 0.9537187814712524, 'tag': 'careers/job search'}, {'confidence_score': 0.9022327065467834, 'tag': 'sports/auto racing'}, {'confidence_score': 0.886101, 'tag': 'automotive and vehicles/buying and selling cars'}]}"
I thought of a joke on engineering but it was too 'mainstream'.,"{'code': 200, 'taxonomy': [{'confidence_score': 0.8823021650314331, 'tag': 'careers/resume writing and advice'}, {'confidence_score': 0.895164, 'tag': 'religion and spirituality/alternative religions'}, {'confidence_score': 0.910406, 'tag': 'technology and computing/computer reviews'}]}"
Happy  birthday!!,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9180036783218384, 'tag': 'sports/wrestling'}, {'confidence_score': 0.8132159113883972, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.8004593253135681, 'tag': 'society/dating'}]}"
"Batsman hits four.
Akash Chopra: à¤à¤µà¥ à¤à¤¾ à¤à¤¸ à¤¶à¥à¤ à¤¸à¥ à¤¯à¥ à¤¤à¤¾à¤¤à¥à¤ªà¤°à¥à¤¯ à¤¹à¥..","{'code': 200, 'taxonomy': [{'confidence_score': 0.970022, 'tag': 'sports/cricket'}, {'confidence_score': 0.709419, 'tag': 'news/international news'}, {'confidence_score': 0.272238, 'tag': 'finance/financial news'}]}"
"You can't be jailed for your grammatical errors , you would not end your sentence properly.","{'code': 200, 'taxonomy': [{'confidence_score': 0.9232693910598755, 'tag': 'family and parenting/babies and toddlers'}, {'confidence_score': 0.904197, 'tag': 'health and fitness/therapy'}, {'confidence_score': 0.960709, 'tag': 'shopping/gifts'}]}"
Happy birthday sir..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9206620454788208, 'tag': 'sports/wrestling'}, {'confidence_score': 0.7905163764953613, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.881196, 'tag': 'travel/business travel'}]}"
Happy birthday bhai..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9206620454788208, 'tag': 'sports/wrestling'}, {'confidence_score': 0.7905163764953613, 'tag': 'health and fitness/sports medicine'}, {'confidence_score': 0.881196, 'tag': 'travel/business travel'}]}"
Happy birthday..,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9648609757423401, 'tag': 'sports/wrestling'}, {'confidence_score': 0.927553, 'tag': 'travel/business travel'}, {'confidence_score': 0.796939, 'tag': 'art and entertainment/music'}]}"
Happy  birthday  Surya!!,"{'code': 200, 'taxonomy': [{'confidence_score': 0.9450680613517761, 'tag': 'sports/wrestling'}, {'confidence_score': 0.8314075469970703, 'tag': 'society/dating'}, {'confidence_score': 0.818322, 'tag': 'health and fitness/sports medicine'}]}"
"Your whole life is a lie.
Lazy people: Exactly!!","{'code': 200, 'taxonomy': [{'confidence_score': 0.9744623899459839, 'tag': 'family and parenting/parenting teens'}, {'confidence_score': 0.967053, 'tag': 'health and fitness/exercise'}, {'confidence_score': 0.89947, 'tag': 'pets/cats'}]}"
